name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Wild Ones (feat. Sia),Flo Rida,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,0.0991,0.608,0.86,0.0,0.262,-5.324,0.0554,127.075,0.437,Nova playlist 2
Wake Me up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm,0.023,0.546,0.814,0.0,0.0972,-5.146,0.0314,104.98,0.146,Nova playlist 2
21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.0518,0.268,0.742,0.0,0.626,-4.939,0.0355,159.779,0.416,Nova playlist 2
O pulso,Titãs,spotify:track:64eSvLjkLvXeazYFL5jRtw,0.028,0.784,0.305,6.27e-05,0.103,-13.245,0.0686,125.281,0.777,Nova playlist 2
Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,0.537,Nova playlist 2
God Save the Queen,Sex Pistols,spotify:track:6ui6l3ZNvlrGQZArwo8195,0.00103,0.274,0.908,0.00219,0.154,-5.419,0.0691,148.246,0.483,Nova playlist 2
Seven Nation Army,The White Stripes,spotify:track:3ctoHckjyd13eBi2IDw2Ip,0.00576,0.75,0.462,0.545,0.307,-7.664,0.0779,123.865,0.309,Nova playlist 2
Lovefool - Radio Edit,The Cardigans,spotify:track:1eRqy8jW4ZLMJR6dl3xsgI,0.0445,0.644,0.599,0.0,0.286,-7.941,0.0291,111.829,0.948,Nova playlist 2
I Wanna Love You,Akon,spotify:track:4xAk8Lw82G3YoVSOdVAsBx,0.0373,0.866,0.454,1.49e-06,0.275,-9.383,0.0414,99.985,0.368,Nova playlist 2
You Gotta Be,Des'ree,spotify:track:6CU0zWIWVTEnmWpSjVHM93,0.211,0.623,0.669,3.2e-06,0.111,-9.985,0.0412,94.028,0.492,Nova playlist 2
Kung Fu Fighting,Carl Douglas,spotify:track:6Q2xcdZZroW8Kq9vdx4DBe,0.0508,0.602,0.664,4.58e-05,0.217,-10.34,0.073,102.361,0.548,Nova playlist 2
Somebody That I Used To Know,Gotye,spotify:track:1qDrWA6lyx8cLECdZE7TV7,0.548,0.865,0.521,0.000115,0.0989,-6.932,0.0371,129.059,0.748,Nova playlist 2
Gangsta's Paradise (feat. L.V.),Coolio,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,0.0372,0.641,0.63,0.0,0.4,-6.393,0.0521,79.955,0.415,Nova playlist 2
Butterfly,Crazy Town,spotify:track:4BggEwLhGfrbrl7JBhC8EC,0.00132,0.736,0.811,0.000142,0.107,-4.17,0.081,103.502,0.609,Nova playlist 2
Don't Worry Be Happy,Bobby McFerrin,spotify:track:4v52HuhZqVV0eNpP6vzH5I,0.884,0.644,0.165,0.000197,0.0603,-22.591,0.162,67.865,0.779,Nova playlist 2
Baby Got Back,Sir Mix-A-Lot,spotify:track:4vvOv6MDFFPpEb1gwwb2ZD,0.00533,0.937,0.654,1.26e-06,0.0542,-11.187,0.322,128.462,0.607,Nova playlist 2
I Love It (feat. Charli XCX),Icona Pop,spotify:track:3VZQshi4COChhXaz7cLP02,0.00855,0.714,0.905,2.55e-05,0.146,-2.663,0.0289,125.927,0.838,Nova playlist 2
Locked out of Heaven,Bruno Mars,spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867,Nova playlist 2
(What A) Wonderful World,Sam Cooke,spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,0.627,0.691,0.507,0.0,0.457,-10.23,0.0343,128.518,0.885,Nova playlist 2
On Top Of The World,Imagine Dragons,spotify:track:213x4gsFDm04hSqIUkg88w,0.0841,0.631,0.924,3.59e-06,0.084,-5.589,0.146,100.045,0.755,Nova playlist 2
Happy Together,The Turtles,spotify:track:1JO1xLtVc8mWhIoE3YaCL0,0.55,0.584,0.367,1.38e-05,0.0818,-9.638,0.0328,120.175,0.588,Nova playlist 2
Take Me Out,Franz Ferdinand,spotify:track:6ooluO7DiEhI1zmK94nRCM,0.000423,0.278,0.676,0.000899,0.136,-8.821,0.0371,104.545,0.494,Nova playlist 2
Every Breath You Take - Remastered 2003,The Police,spotify:track:5C0LFQARavkPpn7JgA4sLk,0.543,0.82,0.452,0.00294,0.0701,-9.796,0.0348,117.401,0.74,Nova playlist 2
Hymn for the Weekend - Seeb Remix,Coldplay,spotify:track:6s3GEN8wK0OMzzzZbXj0fu,0.00868,0.565,0.849,4.68e-06,0.12,-3.516,0.0517,102.034,0.427,Nova playlist 2
DonaldTrumpMakesMeWannaSmokeCrack,Ledinsky,spotify:track:0gfmYDvAZxOl6jXk1N9Fwy,0.462,0.622,0.738,0.0,0.137,-3.456,0.0329,65.012,0.752,Nova playlist 2
Rockaway Beach - 2002 Remaster,Ramones,spotify:track:6GoABcYvOygDUIux8cq4gU,0.000961,0.471,0.873,5.27e-05,0.109,-5.347,0.0512,187.395,0.877,Nova playlist 2
Embrasa,BRAZA,spotify:track:7kf7ja63p7aXtuHOCl5gGH,0.0155,0.705,0.8,2.86e-05,0.246,-7.587,0.0408,89.992,0.722,Nova playlist 2
Só os Loucos Sabem,Charlie Brown Jr.,spotify:track:3nI0piSOxAik2RCpHGloB7,0.738,0.39,0.396,0.0,0.0991,-8.18,0.0395,192.178,0.57,Nova playlist 2
Alive,Empire of the Sun,spotify:track:7tqG3RAo8h9pHxCJFn7bZb,0.108,0.523,0.882,1.07e-06,0.0684,-3.093,0.0364,119.947,0.388,Nova playlist 2
Barracuda,Heart,spotify:track:4f2QcB0RYGz70dXGjvpR0w,0.00293,0.538,0.908,0.124,0.123,-6.277,0.0435,137.416,0.665,Nova playlist 2
