ANO,IBGE7,NOME,IDEB_AF,POP_TOT
2013,1505486,Pacajá,3.7,43057
2013,1505494,Palestina do Pará,3.6,7465
2013,1505502,Paragominas,4.2,103775
2013,1505536,Parauapebas,4.2,176582
2013,1505551,Pau D&apos;Arco,3.3,5743
2013,1505601,Peixe-Boi,4.1,7889
2013,1505635,Piçarra,3.4,12720
2013,1505650,Placas,3.9,26842
2013,1505700,Ponta de Pedras,3.4,28025
2013,1505809,Portel,4,56094
2013,1505908,Porto de Moz,2.8,36841
2013,1506005,Prainha,3.9,29342
2013,1506104,Primavera,2.8,10432
2013,1506112,Quatipuru,2.7,12838
2013,1506138,Redenção,3.2,79010
2013,1506161,Rio Maria,3.8,17774
2013,1506187,Rondon do Pará,4.3,48959
2013,1506195,Rurópolis,3.1,44349
2013,1506203,Salinópolis,3,38552
2013,1506302,Salvaterra,3.6,21592
2013,1506351,Santa Bárbara do Pará,3.1,18736
2013,1506401,Santa Cruz do Arari,3.3,8957
2013,1506500,Santa Isabel do Pará,3.3,63973
2013,1506559,Santa Luzia do Pará,3.3,19455
2013,1506583,Santa Maria das Barreiras,4,18934
2013,1506609,Santa Maria do Pará,3.2,23649
2013,1506708,Santana do Araguaia,2.9,63031
2013,1506807,Santarém,3.8,288462
2013,1506906,Santarém Novo,3.7,6341
2013,1507003,Santo Antônio do Tauá,3.1,28575
2013,1507102,São Caetano de Odivelas,3.2,17266
2013,1507151,São Domingos do Araguaia,2.7,24012
2013,1507201,São Domingos do Capim,2.8,30550
2013,1507300,São Félix do Xingu,3.3,106940
2013,1507409,São Francisco do Pará,3.3,15301
2013,1507458,São Geraldo do Araguaia,3.8,25056
2013,1507466,São João da Ponta,3.7,5608
2013,1507474,São João de Pirabas,3.2,21536
2013,1507508,São João do Araguaia,3,13419
2013,1507607,São Miguel do Guamá,3.4,54417
2013,1507706,São Sebastião da Boa Vista,3.4,24363
2013,1507755,Sapucaia,2.7,5395
2013,1507805,Senador José Porfírio,3.4,12331
2013,1507904,Soure,2.8,23861
2013,1507953,Tailândia,3.4,90552
2013,1507961,Terra Alta,3.2,10822
2013,1507979,Terra Santa,3.9,17614
2013,1508001,Tomé-Açu,3.7,59112
2013,1508035,Tracuateua,3.4,28775
2013,1508050,Trairão,3.3,17670
2013,1508084,Tucumã,3.6,36021
2013,1508100,Tucuruí,3.9,103619
2013,1508126,Ulianópolis,4.2,49972
2013,1508159,Uruará,3.6,44731
2013,1508209,Vigia,3,50055
2013,1508308,Viseu,3.6,58323
2013,1508357,Vitória do Xingu,4.1,14072
2013,1508407,Xinguara,3.2,42085
2013,1600055,Serra do Navio,3.7,4761
2013,1600105,Amapá,2.8,8483
2013,1600154,Pedra Branca do Amapari,3.4,12828
2013,1600204,Calçoene,3,9793
2013,1600212,Cutias,3.6,5173
2013,1600238,Ferreira Gomes,3.5,6525
2013,1600253,Itaubal,3.2,4722
2013,1600279,Laranjal do Jari,3.4,43832
2013,1600303,Macapá,3.4,437256
2013,1600402,Mazagão,2.9,18739
2013,1600501,Oiapoque,3.3,22986
2013,1600535,Porto Grande,3.4,18708
2013,1600550,Pracuúba,3,4277
2013,1600600,Santana,3.6,108897
